registration_id,user_id,event_id,registration_date,completed,rating_given,referral_source,device,days_before_event
REG00001,USR0001,EVT020,2023-03-21,1,3.7,Push Notification,Desktop,7
REG00002,USR0001,EVT017,2024-05-17,1,3.8,Direct,Tablet,5
REG00003,USR0001,EVT016,2023-08-04,1,3.8,Recommandation,Tablet,59
REG00004,USR0001,EVT027,2024-04-06,0,,Push Notification,Desktop,1
REG00005,USR0002,EVT023,2024-08-03,1,4.7,Email,Desktop,23
REG00006,USR0002,EVT001,2024-05-10,0,,Social Media,Tablet,1
REG00007,USR0002,EVT027,2023-06-12,1,3.5,Email,Mobile,39
REG00008,USR0002,EVT005,2023-01-31,1,4.0,Push Notification,Mobile,56
REG00009,USR0002,EVT032,2024-01-09,1,3.4,Recommandation,Mobile,15
REG00010,USR0002,EVT041,2023-03-27,1,4.9,Recommandation,Desktop,31
REG00011,USR0003,EVT048,2023-12-23,1,4.3,Direct,Tablet,52
REG00012,USR0003,EVT049,2024-05-22,1,4.9,Push Notification,Desktop,12
REG00013,USR0003,EVT032,2023-07-22,1,4.8,Recommandation,Desktop,7
REG00014,USR0003,EVT036,2024-08-20,1,4.2,Push Notification,Mobile,47
REG00015,USR0003,EVT034,2024-05-14,1,3.9,Social Media,Tablet,18
REG00016,USR0004,EVT024,2024-09-29,1,3.8,Push Notification,Tablet,23
REG00017,USR0004,EVT067,2024-01-18,0,,Email,Desktop,11
REG00018,USR0004,EVT014,2023-02-04,0,,Recommandation,Tablet,27
REG00019,USR0004,EVT008,2023-10-28,1,4.8,Social Media,Desktop,26
REG00020,USR0004,EVT005,2023-01-31,1,4.6,Direct,Mobile,23
REG00021,USR0004,EVT016,2023-09-09,1,4.3,Recommandation,Mobile,50
REG00022,USR0004,EVT064,2023-11-18,1,3.6,Email,Tablet,22
REG00023,USR0004,EVT070,2023-08-07,1,4.6,Push Notification,Tablet,5
REG00024,USR0004,EVT018,2024-01-30,1,3.4,Push Notification,Mobile,36
REG00025,USR0004,EVT003,2023-10-12,1,4.9,Email,Tablet,58
REG00026,USR0004,EVT026,2024-10-23,1,4.5,Recommandation,Desktop,13
REG00027,USR0004,EVT004,2023-07-21,1,4.0,Email,Desktop,27
REG00028,USR0004,EVT068,2023-05-03,1,3.3,Recommandation,Tablet,25
REG00029,USR0004,EVT061,2023-08-31,1,3.6,Social Media,Mobile,59
REG00030,USR0004,EVT009,2024-04-17,1,4.7,Direct,Mobile,58
REG00031,USR0004,EVT049,2024-06-30,0,,Email,Desktop,42
REG00032,USR0005,EVT070,2024-04-26,1,4.6,Recommandation,Desktop,21
REG00033,USR0005,EVT038,2023-12-21,1,4.1,Recommandation,Desktop,40
REG00034,USR0006,EVT070,2023-11-02,1,3.9,Email,Desktop,40
REG00035,USR0006,EVT022,2023-04-16,1,3.1,Email,Mobile,7
REG00036,USR0006,EVT057,2023-11-27,0,,Direct,Mobile,11
REG00037,USR0007,EVT002,2024-01-13,0,,Social Media,Mobile,60
REG00038,USR0007,EVT029,2024-12-05,0,,Recommandation,Mobile,8
REG00039,USR0007,EVT010,2023-02-19,0,,Email,Desktop,22
REG00040,USR0008,EVT028,2024-01-24,1,3.3,Push Notification,Tablet,30
REG00041,USR0008,EVT015,2023-05-03,1,4.7,Social Media,Desktop,41
REG00042,USR0008,EVT005,2024-04-02,1,4.0,Push Notification,Tablet,31
REG00043,USR0008,EVT069,2024-11-08,1,3.6,Direct,Mobile,6
REG00044,USR0008,EVT063,2023-09-28,1,4.4,Recommandation,Tablet,54
REG00045,USR0008,EVT014,2023-09-06,1,4.5,Push Notification,Tablet,5
REG00046,USR0008,EVT006,2023-03-18,0,,Email,Mobile,1
REG00047,USR0008,EVT030,2024-11-17,1,4.6,Push Notification,Desktop,7
REG00048,USR0008,EVT068,2023-12-15,1,4.2,Social Media,Tablet,55
REG00049,USR0008,EVT065,2023-11-17,1,3.6,Direct,Tablet,10
REG00050,USR0008,EVT021,2024-05-31,1,3.3,Recommandation,Desktop,29
REG00051,USR0008,EVT004,2024-09-27,1,4.6,Push Notification,Mobile,18
REG00052,USR0008,EVT064,2024-03-09,1,3.6,Social Media,Tablet,7
REG00053,USR0008,EVT043,2023-05-31,1,3.2,Email,Mobile,2
REG00054,USR0008,EVT060,2024-04-16,1,3.1,Social Media,Desktop,23
REG00055,USR0009,EVT004,2024-07-17,1,3.9,Push Notification,Desktop,33
REG00056,USR0009,EVT062,2024-03-17,1,3.1,Recommandation,Desktop,7
REG00057,USR0009,EVT070,2023-02-20,1,4.5,Direct,Mobile,19
REG00058,USR0009,EVT063,2023-07-13,1,4.2,Social Media,Tablet,32
REG00059,USR0009,EVT020,2024-06-15,1,4.4,Push Notification,Mobile,15
REG00060,USR0009,EVT018,2023-04-28,1,3.1,Recommandation,Mobile,5
REG00061,USR0010,EVT043,2023-10-10,1,4.2,Direct,Desktop,26
REG00062,USR0010,EVT022,2023-04-14,1,4.6,Recommandation,Desktop,14
REG00063,USR0010,EVT046,2023-06-25,1,3.7,Recommandation,Tablet,39
REG00064,USR0010,EVT009,2023-10-22,1,3.2,Social Media,Tablet,40
REG00065,USR0010,EVT006,2024-05-03,1,4.7,Push Notification,Mobile,21
REG00066,USR0010,EVT053,2024-11-28,1,3.4,Direct,Mobile,1
REG00067,USR0010,EVT018,2024-11-13,1,3.7,Push Notification,Desktop,57
REG00068,USR0010,EVT040,2023-03-20,1,4.5,Email,Tablet,23
REG00069,USR0010,EVT064,2024-04-30,1,4.0,Push Notification,Desktop,8
REG00070,USR0010,EVT061,2023-02-16,0,,Social Media,Tablet,19
REG00071,USR0011,EVT063,2024-06-21,1,4.5,Email,Mobile,20
REG00072,USR0011,EVT032,2023-12-10,1,4.5,Social Media,Desktop,43
REG00073,USR0011,EVT068,2024-05-13,1,3.9,Recommandation,Desktop,46
REG00074,USR0011,EVT038,2023-12-08,0,,Social Media,Desktop,8
REG00075,USR0011,EVT064,2023-10-04,1,4.5,Email,Mobile,27
REG00076,USR0011,EVT052,2023-08-14,1,3.3,Direct,Mobile,16
REG00077,USR0011,EVT050,2024-08-14,1,4.9,Recommandation,Mobile,48
REG00078,USR0011,EVT060,2023-04-02,1,4.9,Email,Desktop,57
REG00079,USR0011,EVT049,2024-10-03,1,4.8,Direct,Tablet,12
REG00080,USR0011,EVT036,2023-09-29,0,,Recommandation,Desktop,26
REG00081,USR0011,EVT056,2024-08-26,1,5.0,Recommandation,Mobile,3
REG00082,USR0011,EVT065,2024-08-16,1,3.7,Social Media,Mobile,28
REG00083,USR0011,EVT045,2024-04-10,1,4.6,Recommandation,Desktop,8
REG00084,USR0011,EVT031,2023-01-09,1,4.4,Direct,Tablet,10
REG00085,USR0011,EVT044,2024-06-19,0,,Social Media,Tablet,43
REG00086,USR0012,EVT024,2024-05-13,1,4.6,Email,Desktop,3
REG00087,USR0012,EVT029,2023-08-11,1,4.2,Email,Desktop,20
REG00088,USR0012,EVT066,2023-01-06,1,4.3,Email,Mobile,17
REG00089,USR0012,EVT026,2023-05-22,1,3.6,Social Media,Tablet,50
REG00090,USR0012,EVT045,2024-07-28,1,3.2,Recommandation,Mobile,47
REG00091,USR0013,EVT060,2024-08-22,0,,Recommandation,Mobile,3
REG00092,USR0013,EVT062,2024-04-29,0,,Push Notification,Tablet,41
REG00093,USR0013,EVT002,2024-01-31,1,4.9,Email,Desktop,59
REG00094,USR0013,EVT027,2023-11-06,1,3.3,Direct,Tablet,57
REG00095,USR0013,EVT007,2023-11-27,0,,Push Notification,Tablet,50
REG00096,USR0014,EVT057,2023-05-19,1,3.4,Recommandation,Mobile,20
REG00097,USR0014,EVT034,2024-08-03,0,,Direct,Tablet,12
REG00098,USR0014,EVT038,2024-01-20,1,4.7,Email,Mobile,34
REG00099,USR0014,EVT065,2024-03-28,1,4.0,Recommandation,Desktop,23
REG00100,USR0014,EVT046,2024-03-13,1,4.9,Direct,Mobile,59
REG00101,USR0014,EVT025,2024-07-26,1,4.5,Email,Mobile,40
REG00102,USR0015,EVT067,2024-08-17,1,3.3,Social Media,Tablet,57
REG00103,USR0015,EVT043,2023-10-28,1,4.7,Push Notification,Desktop,43
REG00104,USR0015,EVT046,2023-01-07,1,4.5,Social Media,Desktop,54
REG00105,USR0015,EVT052,2023-02-25,1,3.5,Email,Desktop,39
REG00106,USR0015,EVT062,2023-04-10,0,,Social Media,Desktop,45
REG00107,USR0015,EVT050,2023-12-06,0,,Email,Tablet,38
